State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
141 559.8613 0.0017071942 -0.0060 -0.0093 0.0013 0.028357 2.470568 3.019324 0.000606 0.0969
142 559.9345 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.255864 23.609503 0.000000 0.0000
143 560.3557 0.0044126753 -0.0024 0.0087 0.0155 0.045569 2.509391 3.366561 0.001031 0.1802
144 560.5411 0.0027499731 -0.0035 0.0131 0.0042 0.035968 2.596480 3.453102 0.000784 0.1118
145 560.5841 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.651253 23.794312 0.000000 0.0000
146 560.8798 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 1.710253 23.429722 0.000000 0.0000
147 560.9251 0.0000000000 -0.0000 0.0000 0.0000 0.000000 1.694718 23.671140 0.000000 0.0000
148 561.1144 0.0034072601 -0.0063 0.0091 0.0112 0.040016 2.484391 3.189296 0.000940 0.1157
149 561.4106 0.0029307920 0.0067 0.0115 0.0059 0.037103 2.632760 3.579380 0.000588 0.1779
150 561.6053 0.0000000000 0.0000 0.0000 0.0000 0.000000 1.983596 24.166586 0.000000 0.0000
